Starting training for 100 epochs...
Epoch 1 [0/2007] loss=0.2360, rec=0.2360, kl=2.1029
Epoch 1 [1460/2007] loss=0.0792, rec=0.0792, kl=0.4179
Epoch 1 [1480/2007] loss=0.0905, rec=0.0905, kl=0.4132
Epoch 1 [1500/2007] loss=0.0844, rec=0.0844, kl=0.4282
Epoch 1 [1520/2007] loss=0.0849, rec=0.0849, kl=0.4256
Epoch 1 [1540/2007] loss=0.0639, rec=0.0639, kl=0.4296
Epoch 1 [1560/2007] loss=0.0787, rec=0.0787, kl=0.4392
Epoch 1 [1580/2007] loss=0.0847, rec=0.0847, kl=0.4310
Epoch 1 [1600/2007] loss=0.0715, rec=0.0715, kl=0.4377
Epoch 1 [1620/2007] loss=0.0728, rec=0.0728, kl=0.4424
Epoch 1 [1640/2007] loss=0.0670, rec=0.0670, kl=0.4415
Epoch 1 [1660/2007] loss=0.0829, rec=0.0829, kl=0.4407
Epoch 1 [1680/2007] loss=0.0848, rec=0.0848, kl=0.4455
Epoch 1 [1700/2007] loss=0.0911, rec=0.0911, kl=0.4486
Epoch 1 [1720/2007] loss=0.0708, rec=0.0708, kl=0.4459
Epoch 1 [1740/2007] loss=0.0855, rec=0.0855, kl=0.4530
Epoch 1 [1760/2007] loss=0.1003, rec=0.1003, kl=0.4462
Epoch 1 [1780/2007] loss=0.0825, rec=0.0825, kl=0.4516
Epoch 1 [1800/2007] loss=0.0687, rec=0.0687, kl=0.4575
Epoch 1 [1820/2007] loss=0.0668, rec=0.0668, kl=0.4628
Epoch 1 [1840/2007] loss=0.0675, rec=0.0675, kl=0.4631
Epoch 1 [1860/2007] loss=0.0755, rec=0.0755, kl=0.4460
Epoch 1 [1880/2007] loss=0.0697, rec=0.0697, kl=0.4702
Epoch 1 [1900/2007] loss=0.0633, rec=0.0633, kl=0.4766
Epoch 1 [1920/2007] loss=0.0640, rec=0.0640, kl=0.4748
Epoch 1 [1940/2007] loss=0.0850, rec=0.0850, kl=0.4854
Epoch 1 [1960/2007] loss=0.0724, rec=0.0724, kl=0.4830
Epoch 1 [1980/2007] loss=0.0877, rec=0.0877, kl=0.4719
Epoch 1 [2000/2007] loss=0.0679, rec=0.0679, kl=0.4922
Epoch 1: train_loss=0.0908, recon=0.0908, kl=0.438958
Starting training for 100 epochs (starting from 1)...
Epoch 1 [0/2007] loss=0.0739, rec=0.0739, kl=0.4838
Starting training for 100 epochs (starting from 1)...
Epoch 1 [0/2007] loss=0.0811, rec=0.0811, kl=0.4736
Epoch 1 [20/2007] loss=0.0747, rec=0.0747, kl=0.4920
Epoch 1 [40/2007] loss=0.0831, rec=0.0831, kl=0.4947
Epoch 1 [60/2007] loss=0.0829, rec=0.0829, kl=0.4683
Epoch 1 [80/2007] loss=0.0654, rec=0.0654, kl=0.4730
Epoch 1 [100/2007] loss=0.0900, rec=0.0900, kl=0.4669
Epoch 1 [120/2007] loss=0.0917, rec=0.0917, kl=0.4781
Epoch 1 [140/2007] loss=0.0684, rec=0.0684, kl=0.4686
Epoch 1 [160/2007] loss=0.0569, rec=0.0569, kl=0.4864
Epoch 1 [180/2007] loss=0.0693, rec=0.0693, kl=0.4920
Epoch 1 [200/2007] loss=0.0581, rec=0.0581, kl=0.5160
Epoch 1 [220/2007] loss=0.0589, rec=0.0589, kl=0.5136
Epoch 1 [240/2007] loss=0.0760, rec=0.0760, kl=0.5316
Epoch 1 [260/2007] loss=0.0743, rec=0.0743, kl=0.5755
Epoch 1 [280/2007] loss=0.0673, rec=0.0673, kl=0.5619
Epoch 1 [300/2007] loss=0.0666, rec=0.0666, kl=0.5710
Epoch 1 [320/2007] loss=0.0738, rec=0.0738, kl=0.5889
Epoch 1 [340/2007] loss=0.0713, rec=0.0713, kl=0.5817
Epoch 1 [360/2007] loss=0.0611, rec=0.0611, kl=0.5962
Epoch 1 [380/2007] loss=0.0723, rec=0.0723, kl=0.5984
Epoch 1 [400/2007] loss=0.0743, rec=0.0743, kl=0.6218
Epoch 1 [420/2007] loss=0.0720, rec=0.0720, kl=0.5838
Epoch 1 [440/2007] loss=0.0763, rec=0.0763, kl=0.6049
Epoch 1 [460/2007] loss=0.0818, rec=0.0818, kl=0.6154
Epoch 1 [480/2007] loss=0.0688, rec=0.0688, kl=0.6315
Epoch 1 [500/2007] loss=0.0658, rec=0.0658, kl=0.6527
Epoch 1 [520/2007] loss=0.0669, rec=0.0669, kl=0.6385
Epoch 1 [540/2007] loss=0.0634, rec=0.0634, kl=0.6170
Epoch 1 [560/2007] loss=0.0768, rec=0.0768, kl=0.6628
Epoch 1 [580/2007] loss=0.0825, rec=0.0825, kl=0.6520
Epoch 1 [600/2007] loss=0.0730, rec=0.0730, kl=0.6446
Epoch 1 [620/2007] loss=0.0679, rec=0.0679, kl=0.6261
Epoch 1 [640/2007] loss=0.0764, rec=0.0764, kl=0.6733
Epoch 1 [660/2007] loss=0.0755, rec=0.0755, kl=0.7003
Epoch 1 [680/2007] loss=0.0679, rec=0.0679, kl=0.6691
Epoch 1 [700/2007] loss=0.0633, rec=0.0633, kl=0.6681
Epoch 1 [720/2007] loss=0.0557, rec=0.0557, kl=0.7097
Epoch 1 [740/2007] loss=0.0734, rec=0.0734, kl=0.7222
Epoch 1 [760/2007] loss=0.0683, rec=0.0683, kl=0.7208
Epoch 1 [780/2007] loss=0.0569, rec=0.0569, kl=0.6935
Epoch 1 [800/2007] loss=0.0762, rec=0.0762, kl=0.6937
Epoch 1 [820/2007] loss=0.0628, rec=0.0628, kl=0.6945
Epoch 1 [840/2007] loss=0.0623, rec=0.0623, kl=0.6875
Epoch 1 [860/2007] loss=0.0811, rec=0.0811, kl=0.7259
Epoch 1 [880/2007] loss=0.0576, rec=0.0576, kl=0.6850
Epoch 1 [900/2007] loss=0.0794, rec=0.0794, kl=0.6998
Epoch 1 [920/2007] loss=0.0760, rec=0.0760, kl=0.7399
Epoch 1 [940/2007] loss=0.0795, rec=0.0795, kl=0.7029
Epoch 1 [960/2007] loss=0.0579, rec=0.0579, kl=0.7215
Epoch 1 [980/2007] loss=0.0616, rec=0.0616, kl=0.7369
Epoch 1 [1000/2007] loss=0.0590, rec=0.0590, kl=0.7663
Epoch 1 [1020/2007] loss=0.0876, rec=0.0876, kl=0.7783
Epoch 1 [1040/2007] loss=0.0821, rec=0.0821, kl=0.7865
Epoch 1 [1060/2007] loss=0.0642, rec=0.0642, kl=0.7805
Epoch 1 [1080/2007] loss=0.0654, rec=0.0654, kl=0.8152
Epoch 1 [1100/2007] loss=0.0646, rec=0.0646, kl=0.8497
Epoch 1 [1120/2007] loss=0.0741, rec=0.0741, kl=0.7655
Epoch 1 [1140/2007] loss=0.0787, rec=0.0787, kl=0.7712
Epoch 1 [1160/2007] loss=0.0790, rec=0.0790, kl=0.8201
Epoch 1 [1180/2007] loss=0.0774, rec=0.0774, kl=0.7909
Epoch 1 [1200/2007] loss=0.0710, rec=0.0710, kl=0.8516
Epoch 1 [1220/2007] loss=0.0650, rec=0.0650, kl=0.7630
Epoch 1 [1240/2007] loss=0.0903, rec=0.0903, kl=0.8207
Epoch 1 [1260/2007] loss=0.0765, rec=0.0765, kl=0.8231
Epoch 1 [1280/2007] loss=0.0487, rec=0.0487, kl=0.7359
Epoch 1 [1300/2007] loss=0.0728, rec=0.0728, kl=0.7499
Epoch 1 [1320/2007] loss=0.0767, rec=0.0767, kl=0.8299
Epoch 1 [1340/2007] loss=0.0696, rec=0.0696, kl=0.7668
Epoch 1 [1360/2007] loss=0.0565, rec=0.0565, kl=0.8055
Epoch 1 [1380/2007] loss=0.0592, rec=0.0592, kl=0.7932
Epoch 1 [1400/2007] loss=0.0837, rec=0.0837, kl=0.7488
Epoch 1 [1420/2007] loss=0.0638, rec=0.0638, kl=0.8446
Epoch 1 [1440/2007] loss=0.0613, rec=0.0613, kl=0.8418
Epoch 1 [1460/2007] loss=0.0822, rec=0.0822, kl=0.8815
Epoch 1 [1480/2007] loss=0.0621, rec=0.0621, kl=0.8891
Epoch 1 [1500/2007] loss=0.0583, rec=0.0583, kl=0.8997
Epoch 1 [1520/2007] loss=0.0673, rec=0.0673, kl=0.8934
Epoch 1 [1540/2007] loss=0.0663, rec=0.0663, kl=0.8540
Epoch 1 [1560/2007] loss=0.0580, rec=0.0580, kl=0.8421
Epoch 1 [1580/2007] loss=0.0796, rec=0.0796, kl=0.8517
Epoch 1 [1600/2007] loss=0.0692, rec=0.0692, kl=0.8407
Epoch 1 [1620/2007] loss=0.0663, rec=0.0663, kl=0.8152
Epoch 1 [1640/2007] loss=0.0583, rec=0.0583, kl=0.8857
Epoch 1 [1660/2007] loss=0.0640, rec=0.0640, kl=0.8220
Epoch 1 [1680/2007] loss=0.0521, rec=0.0521, kl=0.8579
Epoch 1 [1700/2007] loss=0.0645, rec=0.0645, kl=0.8739
Epoch 1 [1720/2007] loss=0.0595, rec=0.0595, kl=0.9282
Epoch 1 [1740/2007] loss=0.0732, rec=0.0732, kl=0.8418
Epoch 1 [1760/2007] loss=0.0650, rec=0.0650, kl=0.8809
Epoch 1 [1780/2007] loss=0.0685, rec=0.0685, kl=0.8677
Epoch 1 [1800/2007] loss=0.0694, rec=0.0694, kl=0.8379
Epoch 1 [1820/2007] loss=0.0627, rec=0.0627, kl=0.9169
Epoch 1 [1840/2007] loss=0.0607, rec=0.0607, kl=1.0046
Epoch 1 [1860/2007] loss=0.0709, rec=0.0709, kl=0.9980
Epoch 1 [1880/2007] loss=0.0674, rec=0.0674, kl=0.9766
Epoch 1 [1900/2007] loss=0.0665, rec=0.0665, kl=0.8880
Epoch 1 [1920/2007] loss=0.0677, rec=0.0677, kl=0.9046
Epoch 1 [1940/2007] loss=0.0747, rec=0.0747, kl=0.9464
Epoch 1 [1960/2007] loss=0.0753, rec=0.0753, kl=0.8892
Epoch 1 [1980/2007] loss=0.0618, rec=0.0618, kl=0.9642
Epoch 1 [2000/2007] loss=0.0612, rec=0.0612, kl=0.9967
Epoch 1: train_loss=0.0703, recon=0.0703, kl=0.728873
New best model saved: ./diffusion_consistency_radar/train_results/vae/vae_best.pt
Epoch 2 [0/2007] loss=0.0618, rec=0.0618, kl=0.8933
Epoch 2 [20/2007] loss=0.0618, rec=0.0618, kl=0.9577
Epoch 2 [40/2007] loss=0.0577, rec=0.0577, kl=1.0370
Epoch 2 [60/2007] loss=0.0562, rec=0.0562, kl=1.0005
Epoch 2 [80/2007] loss=0.0547, rec=0.0547, kl=0.9982
Epoch 2 [100/2007] loss=0.0610, rec=0.0610, kl=0.9557
Epoch 2 [120/2007] loss=0.0518, rec=0.0518, kl=0.9170
Epoch 2 [140/2007] loss=0.0566, rec=0.0566, kl=0.9807
Epoch 2 [160/2007] loss=0.0636, rec=0.0636, kl=0.9509
Epoch 2 [180/2007] loss=0.0742, rec=0.0742, kl=0.9148
Epoch 2 [200/2007] loss=0.0529, rec=0.0529, kl=0.9887
Epoch 2 [220/2007] loss=0.0717, rec=0.0717, kl=1.0792
Epoch 2 [240/2007] loss=0.0584, rec=0.0584, kl=0.9964
Epoch 2 [260/2007] loss=0.0606, rec=0.0606, kl=1.0290
Epoch 2 [280/2007] loss=0.0568, rec=0.0568, kl=1.0516
Epoch 2 [300/2007] loss=0.0606, rec=0.0606, kl=0.9221
Epoch 2 [320/2007] loss=0.0600, rec=0.0600, kl=0.9519
Epoch 2 [340/2007] loss=0.0754, rec=0.0754, kl=0.9933
Epoch 2 [360/2007] loss=0.0733, rec=0.0733, kl=1.0104
Epoch 2 [380/2007] loss=0.0519, rec=0.0519, kl=1.0092
Epoch 2 [400/2007] loss=0.0686, rec=0.0686, kl=1.0005
Epoch 2 [420/2007] loss=0.0766, rec=0.0766, kl=1.0473
Epoch 2 [440/2007] loss=0.0667, rec=0.0667, kl=1.0972
Epoch 2 [460/2007] loss=0.0626, rec=0.0626, kl=1.0365
Epoch 2 [480/2007] loss=0.0598, rec=0.0598, kl=1.0005
Epoch 2 [500/2007] loss=0.0639, rec=0.0639, kl=1.0169
Epoch 2 [520/2007] loss=0.0627, rec=0.0627, kl=0.9988
Epoch 2 [540/2007] loss=0.0560, rec=0.0560, kl=0.9749
Epoch 2 [560/2007] loss=0.0571, rec=0.0571, kl=0.9664
Epoch 2 [580/2007] loss=0.0760, rec=0.0760, kl=0.9868
Epoch 2 [600/2007] loss=0.0632, rec=0.0632, kl=1.1682
Epoch 2 [620/2007] loss=0.0609, rec=0.0609, kl=0.9677
Epoch 2 [640/2007] loss=0.0576, rec=0.0576, kl=1.1055
Epoch 2 [660/2007] loss=0.0695, rec=0.0695, kl=1.0367
Epoch 2 [680/2007] loss=0.0510, rec=0.0510, kl=1.0813
Epoch 2 [700/2007] loss=0.0600, rec=0.0600, kl=1.0491
Epoch 2 [720/2007] loss=0.0662, rec=0.0662, kl=1.0624
Epoch 2 [740/2007] loss=0.0568, rec=0.0568, kl=1.0303
Epoch 2 [760/2007] loss=0.0535, rec=0.0535, kl=1.0756
Epoch 2 [780/2007] loss=0.0590, rec=0.0590, kl=1.1081
Epoch 2 [800/2007] loss=0.0564, rec=0.0564, kl=0.9794
Epoch 2 [820/2007] loss=0.0659, rec=0.0659, kl=1.0212
Epoch 2 [840/2007] loss=0.0557, rec=0.0557, kl=1.1008
Epoch 2 [860/2007] loss=0.0691, rec=0.0691, kl=1.0701
Epoch 2 [880/2007] loss=0.0482, rec=0.0482, kl=1.0206
Epoch 2 [900/2007] loss=0.0710, rec=0.0710, kl=1.1042
Epoch 2 [920/2007] loss=0.0679, rec=0.0679, kl=1.1388
Epoch 2 [940/2007] loss=0.0544, rec=0.0544, kl=1.1336
Epoch 2 [960/2007] loss=0.0632, rec=0.0632, kl=1.0666
Epoch 2 [980/2007] loss=0.0592, rec=0.0592, kl=1.0909
Epoch 2 [1000/2007] loss=0.0508, rec=0.0507, kl=1.1921
Epoch 2 [1020/2007] loss=0.0686, rec=0.0686, kl=1.1499
Epoch 2 [1040/2007] loss=0.0523, rec=0.0523, kl=1.1327
Epoch 2 [1060/2007] loss=0.0581, rec=0.0581, kl=0.9722
Epoch 2 [1080/2007] loss=0.0655, rec=0.0655, kl=1.0610
Epoch 2 [1100/2007] loss=0.0524, rec=0.0524, kl=1.0298
Epoch 2 [1120/2007] loss=0.0718, rec=0.0718, kl=1.0886
Epoch 2 [1140/2007] loss=0.0639, rec=0.0639, kl=1.1378
Epoch 2 [1160/2007] loss=0.0519, rec=0.0519, kl=1.0810
Epoch 2 [1180/2007] loss=0.0613, rec=0.0613, kl=1.1429
Epoch 2 [1200/2007] loss=0.0575, rec=0.0575, kl=1.0868
Epoch 2 [1220/2007] loss=0.0623, rec=0.0623, kl=1.0533
Epoch 2 [1240/2007] loss=0.0504, rec=0.0504, kl=1.0566
Epoch 2 [1260/2007] loss=0.0505, rec=0.0505, kl=1.0859
Epoch 2 [1280/2007] loss=0.0727, rec=0.0727, kl=1.1882
Epoch 2 [1300/2007] loss=0.0588, rec=0.0588, kl=1.0051
Epoch 2 [1320/2007] loss=0.0548, rec=0.0548, kl=1.1400
Epoch 2 [1340/2007] loss=0.0596, rec=0.0596, kl=1.1312
Epoch 2 [1360/2007] loss=0.0600, rec=0.0600, kl=1.1816
Epoch 2 [1380/2007] loss=0.0692, rec=0.0692, kl=1.0525
Epoch 2 [1400/2007] loss=0.0599, rec=0.0599, kl=1.0465
Epoch 2 [1420/2007] loss=0.0470, rec=0.0469, kl=1.1603
Epoch 2 [1440/2007] loss=0.0518, rec=0.0518, kl=1.1269
Epoch 2 [1460/2007] loss=0.0663, rec=0.0663, kl=1.0768
Epoch 2 [1480/2007] loss=0.0473, rec=0.0473, kl=1.1869
Epoch 2 [1500/2007] loss=0.0684, rec=0.0684, kl=1.2447
Epoch 2 [1520/2007] loss=0.0548, rec=0.0548, kl=1.1163
Epoch 2 [1540/2007] loss=0.0518, rec=0.0518, kl=1.2054
Epoch 2 [1560/2007] loss=0.0497, rec=0.0497, kl=1.2955
Epoch 2 [1580/2007] loss=0.0610, rec=0.0610, kl=1.0710
Epoch 2 [1600/2007] loss=0.0443, rec=0.0443, kl=1.1807
Epoch 2 [1620/2007] loss=0.0684, rec=0.0684, kl=1.2936
Epoch 2 [1640/2007] loss=0.0583, rec=0.0583, kl=1.2538
Epoch 2 [1660/2007] loss=0.0692, rec=0.0692, kl=1.1827
Epoch 2 [1680/2007] loss=0.0733, rec=0.0733, kl=1.0399
Epoch 2 [1700/2007] loss=0.0628, rec=0.0628, kl=1.1619
Epoch 2 [1720/2007] loss=0.0490, rec=0.0490, kl=1.1425
Epoch 2 [1740/2007] loss=0.0534, rec=0.0534, kl=1.2394
Epoch 2 [1760/2007] loss=0.0540, rec=0.0540, kl=1.0877
Epoch 2 [1780/2007] loss=0.0517, rec=0.0517, kl=1.1002
Epoch 2 [1800/2007] loss=0.0483, rec=0.0483, kl=1.1977
Epoch 2 [1820/2007] loss=0.0516, rec=0.0516, kl=1.1607
Epoch 2 [1840/2007] loss=0.0491, rec=0.0491, kl=1.1534
Epoch 2 [1860/2007] loss=0.0517, rec=0.0517, kl=1.0336
Epoch 2 [1880/2007] loss=0.0716, rec=0.0716, kl=1.1197
Epoch 2 [1900/2007] loss=0.0547, rec=0.0547, kl=1.2245
Epoch 2 [1920/2007] loss=0.0526, rec=0.0526, kl=1.1787
Epoch 2 [1940/2007] loss=0.0465, rec=0.0465, kl=1.1204
Epoch 2 [1960/2007] loss=0.0451, rec=0.0451, kl=1.0671
Epoch 2 [1980/2007] loss=0.0561, rec=0.0561, kl=1.2346
Epoch 2 [2000/2007] loss=0.0508, rec=0.0508, kl=1.2174
Epoch 2: train_loss=0.0588, recon=0.0588, kl=1.074353
New best model saved: ./diffusion_consistency_radar/train_results/vae/vae_best.pt
Epoch 3 [0/2007] loss=0.0661, rec=0.0661, kl=1.1286
Epoch 3 [20/2007] loss=0.0484, rec=0.0484, kl=1.1960
Epoch 3 [40/2007] loss=0.0778, rec=0.0778, kl=1.0098
Epoch 3 [60/2007] loss=0.0659, rec=0.0659, kl=1.1170
Epoch 3 [80/2007] loss=0.0562, rec=0.0562, kl=1.2413
Epoch 3 [100/2007] loss=0.0555, rec=0.0555, kl=1.0925
Epoch 3 [120/2007] loss=0.0448, rec=0.0448, kl=1.0900
Epoch 3 [140/2007] loss=0.0428, rec=0.0428, kl=1.0895
Epoch 3 [160/2007] loss=0.0527, rec=0.0527, kl=1.2468
Epoch 3 [180/2007] loss=0.0656, rec=0.0656, kl=1.2412
Epoch 3 [200/2007] loss=0.0472, rec=0.0472, kl=1.1832
Epoch 3 [220/2007] loss=0.0574, rec=0.0574, kl=1.1287
Epoch 3 [240/2007] loss=0.0530, rec=0.0530, kl=1.2908
Epoch 3 [260/2007] loss=0.0657, rec=0.0657, kl=1.2768
Epoch 3 [280/2007] loss=0.0589, rec=0.0589, kl=1.2979
Epoch 3 [300/2007] loss=0.0499, rec=0.0499, kl=1.2079
Epoch 3 [320/2007] loss=0.0628, rec=0.0628, kl=1.2452
Epoch 3 [340/2007] loss=0.0476, rec=0.0476, kl=1.3925
Epoch 3 [360/2007] loss=0.0470, rec=0.0470, kl=1.1912
Epoch 3 [380/2007] loss=0.0542, rec=0.0542, kl=1.2052
Epoch 3 [400/2007] loss=0.0538, rec=0.0538, kl=1.2648
Epoch 3 [420/2007] loss=0.0374, rec=0.0374, kl=1.1447
Epoch 3 [440/2007] loss=0.0474, rec=0.0474, kl=1.1511
Epoch 3 [460/2007] loss=0.0644, rec=0.0644, kl=1.0947
Epoch 3 [480/2007] loss=0.0585, rec=0.0585, kl=1.1876
Epoch 3 [500/2007] loss=0.0504, rec=0.0504, kl=1.2583
Epoch 3 [520/2007] loss=0.0434, rec=0.0434, kl=1.1918
Epoch 3 [540/2007] loss=0.0523, rec=0.0523, kl=1.3501
Epoch 3 [560/2007] loss=0.0578, rec=0.0578, kl=1.1544
Epoch 3 [580/2007] loss=0.0468, rec=0.0468, kl=1.1092
Epoch 3 [600/2007] loss=0.0495, rec=0.0495, kl=1.2690
Epoch 3 [620/2007] loss=0.0472, rec=0.0472, kl=1.2573
Epoch 3 [640/2007] loss=0.0611, rec=0.0611, kl=1.1274
Epoch 3 [660/2007] loss=0.0574, rec=0.0574, kl=1.2762
Epoch 3 [680/2007] loss=0.0526, rec=0.0526, kl=1.2487
Epoch 3 [700/2007] loss=0.0468, rec=0.0468, kl=1.1537
Epoch 3 [720/2007] loss=0.0575, rec=0.0575, kl=1.4003
Epoch 3 [740/2007] loss=0.0488, rec=0.0488, kl=1.3507
Epoch 3 [760/2007] loss=0.0576, rec=0.0576, kl=1.2447
Epoch 3 [780/2007] loss=0.0489, rec=0.0489, kl=1.1627
Epoch 3 [800/2007] loss=0.0327, rec=0.0327, kl=1.1542
Epoch 3 [820/2007] loss=0.0530, rec=0.0530, kl=1.3076
Epoch 3 [840/2007] loss=0.0558, rec=0.0558, kl=1.1375
Epoch 3 [860/2007] loss=0.0543, rec=0.0543, kl=1.3043
Epoch 3 [880/2007] loss=0.0475, rec=0.0475, kl=1.2342
Epoch 3 [900/2007] loss=0.0422, rec=0.0422, kl=1.3119
Epoch 3 [920/2007] loss=0.0458, rec=0.0458, kl=1.3230
Epoch 3 [940/2007] loss=0.0402, rec=0.0402, kl=1.3085
Epoch 3 [960/2007] loss=0.0456, rec=0.0456, kl=1.2334
Epoch 3 [980/2007] loss=0.0504, rec=0.0504, kl=1.2927
Epoch 3 [1000/2007] loss=0.0560, rec=0.0560, kl=1.2947
Epoch 3 [1020/2007] loss=0.0441, rec=0.0441, kl=1.4343
Epoch 3 [1040/2007] loss=0.0435, rec=0.0435, kl=1.2025
Epoch 3 [1060/2007] loss=0.0405, rec=0.0405, kl=1.2233
Epoch 3 [1080/2007] loss=0.0516, rec=0.0516, kl=1.3929
Epoch 3 [1100/2007] loss=0.0491, rec=0.0491, kl=1.2215
Epoch 3 [1120/2007] loss=0.0553, rec=0.0553, kl=1.4510
Epoch 3 [1140/2007] loss=0.0432, rec=0.0432, kl=1.1976
Epoch 3 [1160/2007] loss=0.0567, rec=0.0567, kl=1.3021
Epoch 3 [1180/2007] loss=0.0521, rec=0.0521, kl=1.3547
Epoch 3 [1200/2007] loss=0.0412, rec=0.0412, kl=1.3401
Epoch 3 [1220/2007] loss=0.0458, rec=0.0458, kl=1.2173
